district,area,perch,bedrooms,bathrooms,kitchen_area_sqft,parking_spots,has_garden,has_ac,water_supply,electricity,floors,year_built,price_lkr,house_age
Polonnaruwa,Polonnaruwa Central,2,3,2,35,1,False,False,Pipe-borne,Single phase,2,1988,2902969,38
Ratnapura,Kuruwita,24,7,5,250,2,True,False,Pipe-borne,Three phase,3,2016,33334667,10
Mannar,Mannar Central,25,4,4,250,2,True,False,Well,Single phase,2,2020,24001058,6
Anuradhapura,Madawachchiya,5,2,1,43,2,True,False,Pipe-borne,Single phase,1,2007,5669846,19
Mullaitivu,Mullaitivu Central,4,3,2,51,0,False,False,Both,Single phase,1,2020,2943151,6
Hambantota,Hambantota Town,15,7,5,179,2,True,True,Well,Single phase,3,1994,24048298,32
Anuradhapura,Madawachchiya,9,4,3,111,2,True,False,Both,Three phase,1,1996,8616424,30
Matale,Matale Central,6,2,1,54,0,True,True,Well,Single phase,1,1996,7799695,30
Matara,Weligama,27,6,5,250,3,True,True,Both,Single phase,2,2024,56219698,2
Puttalam,Puttalam Central,12,6,5,86,1,False,True,Well,Single phase,2,2021,13323546,5
Mullaitivu,Mullaitivu Central,2,3,2,35,1,True,True,Both,Single phase,1,2012,3696633,14
Jaffna,Nallur,18,7,5,220,1,True,True,Pipe-borne,Three phase,2,1999,29852999,27
Colombo,Dehiwala,20,6,5,235,3,True,False,Pipe-borne,Three phase,2,2009,73827297,17
Badulla,Hali Ela,8,3,2,63,0,True,False,Both,Single phase,2,2017,8450791,9
Kilinochchi,Kilinochchi Central,14,5,4,151,1,True,True,Pipe-borne,Single phase,1,1990,10987587,36
Vavuniya,Vavuniya Central,19,5,4,183,3,False,False,Well,Single phase,3,1989,18435152,37
Kegalle,Kegalle Central,23,5,5,245,2,True,False,Pipe-borne,Three phase,3,2009,32686393,17
Kegalle,Kegalle Central,16,7,5,156,1,True,True,Pipe-borne,Three phase,1,1995,20132929,31
Mullaitivu,Mullaitivu Central,21,6,5,213,3,True,True,Pipe-borne,Three phase,3,2025,22501451,1
Batticaloa,Batticaloa Town,12,3,3,160,1,False,False,Well,Three phase,2,2005,14148696,21
Badulla,Hali Ela,10,3,2,142,1,False,False,Both,Single phase,1,2020,15628637,6
Vavuniya,Vavuniya Central,19,7,5,121,2,False,True,Pipe-borne,Three phase,1,2023,19327148,3
Kurunegala,Kurunegala Town,6,4,3,53,1,False,True,Pipe-borne,Single phase,1,2007,6468041,19
Matale,Matale Central,2,2,2,40,2,False,False,Well,Three phase,1,1997,3370432,29
Gampaha,Ragama,13,4,3,125,1,False,True,Both,Three phase,1,2017,20428977,9
Kilinochchi,Kilinochchi Central,15,5,4,106,2,True,False,Well,Three phase,1,2022,12897545,4
Kurunegala,Kurunegala Town,19,6,5,179,1,True,True,Both,Three phase,2,2004,23521896,22
Trincomalee,China Bay,24,7,5,250,2,False,False,Well,Single phase,2,2006,39707979,20
Puttalam,Puttalam Central,19,7,5,124,3,False,False,Well,Three phase,1,1993,15573023,33
Batticaloa,Eravur,30,6,5,250,3,True,True,Well,Three phase,3,2025,54848215,1
Colombo,Nugegoda,14,6,5,121,3,True,False,Both,Three phase,1,2008,35489991,18
Kurunegala,Melsiripura,13,5,4,59,1,False,False,Well,Three phase,2,1996,10316036,30
Jaffna,Jaffna Town,16,7,5,101,1,True,False,Pipe-borne,Three phase,1,2003,17770012,23
Ratnapura,Ratnapura Town,12,5,4,147,0,False,True,Pipe-borne,Single phase,1,2014,18311128,12
Mullaitivu,Mullaitivu Central,17,7,5,198,3,True,True,Well,Single phase,3,2005,19698315,21
Trincomalee,China Bay,5,3,3,74,2,True,True,Well,Three phase,1,1985,8213982,41
Kegalle,Kegalle Central,2,2,1,35,1,False,True,Both,Three phase,2,1986,5039838,40
Kegalle,Kegalle Central,9,4,3,54,1,True,False,Both,Single phase,2,1986,9564692,40
Kilinochchi,Kilinochchi Central,19,6,5,147,1,True,False,Pipe-borne,Three phase,1,2012,15211221,14
Ampara,Ampara Central,3,2,1,37,1,True,False,Both,Single phase,2,2000,3453030,26
Ampara,Ampara Central,5,2,2,67,1,False,True,Well,Three phase,1,2018,6107440,8
Batticaloa,Eravur,12,2,2,169,1,True,True,Well,Three phase,2,1992,21028953,34
Kalutara,Panadura,14,6,5,122,1,False,True,Pipe-borne,Three phase,1,2016,19541853,10
Nuwara Eliya,Nuwara Eliya Central,3,2,1,35,2,True,True,Pipe-borne,Single phase,1,2019,7716500,7
Gampaha,Gampaha Town,2,2,1,35,2,True,False,Well,Single phase,2,1995,5814810,31
Colombo,Kollupitiya,15,6,5,133,1,True,True,Both,Three phase,2,1996,38867777,30
Colombo,Borella,28,6,5,250,1,False,True,Pipe-borne,Three phase,3,2006,103306504,20
Kalutara,Wadduwa,7,3,2,53,1,True,True,Pipe-borne,Single phase,2,2007,10075912,19
Mannar,Mannar Central,4,2,1,47,1,True,True,Pipe-borne,Three phase,2,2017,4422319,9
Matale,Matale Central,7,3,3,71,0,False,True,Well,Three phase,2,1992,6952795,34
Kurunegala,Melsiripura,8,3,3,92,1,True,True,Both,Single phase,1,1999,8414270,27
Monaragala,Monaragala Central,32,6,5,250,2,True,False,Pipe-borne,Single phase,2,1987,24437220,39
Ratnapura,Ratnapura Town,5,3,2,79,0,True,True,Both,Three phase,1,2021,8455290,5
Ratnapura,Ratnapura Town,14,5,4,153,1,True,True,Both,Three phase,1,2009,14436235,17
Colombo,Mount Lavinia,9,4,4,88,0,True,True,Both,Three phase,2,2024,32403605,2
Anuradhapura,New Town,31,5,4,250,1,False,False,Well,Single phase,3,2007,28275905,19
Batticaloa,Eravur,26,5,4,250,1,False,False,Pipe-borne,Three phase,2,1991,28061653,35
Anuradhapura,Nuwaragam Palatha,16,4,3,104,2,True,True,Pipe-borne,Three phase,2,2005,16287316,21
Nuwara Eliya,Nuwara Eliya Central,5,1,1,50,1,False,True,Pipe-borne,Three phase,1,2001,12355477,25
Mullaitivu,Mullaitivu Central,39,6,5,250,2,True,True,Pipe-borne,Three phase,2,2005,36364568,21
Polonnaruwa,Polonnaruwa Central,8,5,5,55,3,True,False,Pipe-borne,Three phase,1,1994,7942026,32
Ratnapura,Kuruwita,8,4,3,76,1,False,True,Pipe-borne,Three phase,1,2005,8207532,21
Kalutara,Kalutara North,26,4,3,163,3,True,False,Pipe-borne,Single phase,2,2006,33376214,20
Vavuniya,Vavuniya Central,9,1,1,96,1,False,False,Both,Three phase,1,1995,8741914,31
Vavuniya,Vavuniya Central,6,3,2,73,0,False,True,Both,Three phase,2,2003,7100708,23
Kilinochchi,Kilinochchi Central,7,4,3,74,1,True,True,Pipe-borne,Three phase,1,2023,6755149,3
Vavuniya,Vavuniya Central,16,4,3,175,2,False,False,Both,Single phase,3,1991,21426707,35
Jaffna,Jaffna Town,11,3,2,82,0,False,True,Pipe-borne,Three phase,1,1995,10507397,31
Mullaitivu,Mullaitivu Central,6,3,2,79,0,True,False,Both,Single phase,2,2024,6663320,2
Galle,Galle Fort,2,2,2,35,1,False,True,Pipe-borne,Single phase,2,2015,5235496,11
Ampara,Ampara Central,5,2,1,50,1,False,False,Pipe-borne,Three phase,1,2014,5780976,12
Badulla,Hali Ela,31,7,5,223,1,True,False,Both,Single phase,2,2002,32858444,24
Kilinochchi,Kilinochchi Central,28,7,5,250,1,True,False,Pipe-borne,Three phase,2,2023,32529812,3
Jaffna,Jaffna Town,6,3,3,49,0,True,True,Well,Three phase,2,2022,10080018,4
Hambantota,Tangalle,10,4,3,138,0,False,False,Both,Three phase,2,2001,12395415,25
Kegalle,Kegalle Central,13,5,5,119,1,True,True,Well,Single phase,2,2006,19418367,20
Jaffna,Nallur,17,7,5,142,3,False,True,Well,Single phase,1,1995,19547355,31
Anuradhapura,Madawachchiya,48,6,5,250,1,True,False,Pipe-borne,Single phase,3,2013,48595251,13
Ratnapura,Pelmadulla,18,5,5,142,3,False,True,Both,Three phase,1,1990,16153986,36
Kandy,Kandy City,2,3,2,57,0,False,False,Pipe-borne,Single phase,1,2025,6377485,1
Ampara,Ampara Central,14,7,5,102,3,True,False,Both,Three phase,1,2015,15738058,11
Matara,Nupe,33,7,5,250,3,True,False,Well,Three phase,3,2024,52063431,2
Monaragala,Monaragala Central,35,5,4,250,2,True,False,Pipe-borne,Single phase,2,2004,37815046,22
Matale,Matale Central,2,3,2,41,0,False,False,Pipe-borne,Three phase,1,1992,3028660,34
Monaragala,Monaragala Central,16,7,5,209,1,True,False,Both,Three phase,3,2002,19579209,24
Kilinochchi,Kilinochchi Central,17,7,5,164,2,False,False,Well,Single phase,2,2002,15675789,24
Nuwara Eliya,Nuwara Eliya Central,28,4,4,250,1,False,False,Pipe-borne,Single phase,2,2006,71513452,20
Galle,Galle Fort,4,3,2,50,0,True,False,Well,Single phase,1,2003,5572033,23
Ratnapura,Kuruwita,8,4,4,60,1,False,False,Well,Single phase,1,2007,8374598,19
Kegalle,Kegalle Central,4,1,1,51,1,False,False,Both,Three phase,1,2017,3918811,9
Mannar,Mannar Central,18,6,5,249,3,True,True,Well,Three phase,2,1990,18833971,36
Polonnaruwa,Polonnaruwa Central,22,7,5,215,2,False,False,Well,Single phase,2,1997,24696261,29
Kalutara,Kalutara North,8,4,4,67,1,True,False,Both,Single phase,1,2015,13642711,11
Polonnaruwa,Polonnaruwa Central,17,6,5,214,1,False,False,Both,Three phase,2,2000,16996051,26
Trincomalee,Uppuveli,8,3,2,84,0,True,False,Both,Single phase,1,2016,9356839,10
Hambantota,Tangalle,15,6,5,97,1,False,False,Pipe-borne,Single phase,1,1992,12644540,34
Puttalam,Puttalam Central,8,3,2,91,0,True,False,Both,Three phase,2,1987,8586703,39
Mullaitivu,Mullaitivu Central,4,2,2,63,1,True,False,Both,Single phase,2,1985,4885158,41
Gampaha,Gampaha Town,14,6,5,145,1,False,True,Pipe-borne,Three phase,1,2018,30033709,8
Trincomalee,Nilaveli,2,3,3,59,0,False,True,Both,Single phase,1,1996,3777603,30
Gampaha,Wattala,32,6,5,250,2,True,False,Well,Three phase,2,2013,60207123,13
Trincomalee,Uppuveli,8,3,2,116,1,True,False,Pipe-borne,Single phase,1,1997,11295460,29
Jaffna,Jaffna Town,8,3,2,80,2,False,True,Pipe-borne,Three phase,1,2022,11720578,4
Hambantota,Tangalle,13,5,4,128,2,True,True,Pipe-borne,Single phase,1,2012,16063740,14
Matale,Matale Central,6,1,1,67,2,False,False,Both,Single phase,1,2022,8620198,4
Nuwara Eliya,Nuwara Eliya Central,2,2,2,35,3,False,True,Well,Single phase,1,1988,6170694,38
Trincomalee,Uppuveli,9,1,1,120,1,True,False,Well,Single phase,2,2025,11656578,1
Nuwara Eliya,Nuwara Eliya Central,29,6,5,250,2,False,True,Well,Single phase,3,1993,63478680,33
Badulla,Hali Ela,8,5,5,128,0,True,False,Well,Three phase,2,2017,9751107,9
Hambantota,Hambantota Town,2,1,1,43,1,False,True,Well,Three phase,1,2020,4276876,6
Kilinochchi,Kilinochchi Central,14,6,5,140,1,True,False,Pipe-borne,Single phase,1,1998,10759759,28
Kegalle,Kegalle Central,2,2,1,55,2,True,False,Pipe-borne,Single phase,2,2007,2872291,19
Gampaha,Negombo,2,3,2,35,2,True,True,Well,Three phase,2,2014,6963059,12
Ampara,Ampara Central,6,2,2,37,1,True,True,Pipe-borne,Three phase,1,2013,8054013,13
Nuwara Eliya,Nuwara Eliya Central,2,3,2,35,0,False,False,Pipe-borne,Three phase,1,2014,6203716,12
Hambantota,Ambalantota,5,2,1,72,0,True,False,Well,Single phase,2,2007,5023606,19
Galle,Hikkaduwa,17,6,5,148,1,True,True,Both,Three phase,2,2010,30460360,16
Matara,Nupe,14,5,5,106,2,True,False,Pipe-borne,Single phase,1,2001,13094734,25
Ratnapura,Kuruwita,20,6,5,191,2,True,True,Both,Single phase,3,2017,23095637,9
Anuradhapura,Nuwaragam Palatha,15,7,5,156,2,True,True,Pipe-borne,Three phase,2,2011,20225154,15
Anuradhapura,Nuwaragam Palatha,7,1,1,49,0,True,False,Well,Three phase,1,2014,5934011,12
Kalutara,Kalutara North,25,7,5,250,1,False,False,Well,Single phase,3,1995,39967109,31
Mannar,Mannar Central,5,1,1,62,0,False,False,Well,Single phase,1,1990,5001699,36
Ampara,Ampara Central,15,7,5,185,2,True,False,Well,Three phase,1,1987,13512729,39
Colombo,Bambalapitiya,8,6,5,105,1,True,True,Well,Three phase,1,1991,24566760,35
Anuradhapura,Madawachchiya,9,4,3,149,1,True,False,Both,Single phase,1,2010,14579632,16
Hambantota,Ambalantota,12,4,3,86,0,False,True,Pipe-borne,Three phase,1,2006,9981333,20
Polonnaruwa,Polonnaruwa Central,6,1,1,80,0,True,False,Well,Single phase,1,2017,8113407,9
Kegalle,Kegalle Central,10,6,5,46,0,False,True,Pipe-borne,Single phase,2,2008,11037976,18
Badulla,Badulla Town,3,4,4,35,1,False,False,Well,Three phase,1,2018,3598959,8
Kilinochchi,Kilinochchi Central,6,3,3,47,0,True,True,Both,Three phase,1,2015,7356672,11
Trincomalee,Nilaveli,9,3,3,93,2,True,False,Well,Single phase,1,1993,9230689,33
Puttalam,Puttalam Central,14,7,5,183,1,False,False,Pipe-borne,Three phase,1,2012,18507400,14
Monaragala,Monaragala Central,12,4,3,117,0,False,True,Well,Single phase,1,2005,12664650,21
Ampara,Ampara Central,9,5,5,122,0,True,False,Well,Three phase,1,2017,11461173,9
Kalutara,Kalutara North,17,5,4,218,2,True,False,Well,Single phase,2,2018,32855725,8
Colombo,Dehiwala,17,6,5,216,2,True,True,Pipe-borne,Single phase,2,2000,70753464,26
Kurunegala,Kurunegala Town,16,5,4,151,2,True,False,Pipe-borne,Three phase,1,1985,18032563,41
Kegalle,Kegalle Central,4,2,2,49,0,True,True,Pipe-borne,Single phase,1,2012,5138933,14
Polonnaruwa,Polonnaruwa Central,6,1,1,91,0,False,True,Both,Single phase,2,1998,8861550,28
Ratnapura,Pelmadulla,4,2,2,50,2,False,False,Both,Three phase,1,1994,4571497,32
Polonnaruwa,Polonnaruwa Central,9,4,3,68,3,True,False,Both,Single phase,1,2017,10751256,9
Mullaitivu,Mullaitivu Central,5,2,1,51,1,False,True,Pipe-borne,Single phase,1,1992,5095677,34
Kalutara,Panadura,4,4,3,56,2,False,True,Both,Three phase,2,2012,7442307,14
Badulla,Badulla Town,13,5,5,138,2,False,False,Well,Single phase,1,2020,14720142,6
Matale,Matale Central,21,5,4,217,2,False,True,Well,Single phase,2,2016,28950945,10
Kurunegala,Melsiripura,2,3,3,35,2,False,True,Pipe-borne,Three phase,1,1993,3337102,33
Trincomalee,China Bay,31,6,5,250,2,True,False,Pipe-borne,Three phase,2,1997,47165079,29
Kalutara,Beruwala,3,2,1,35,1,False,False,Well,Single phase,2,2021,5070443,5
Ampara,Ampara Central,8,3,3,71,2,True,True,Pipe-borne,Three phase,1,2002,6824600,24
Anuradhapura,Madawachchiya,10,4,3,117,2,True,False,Well,Three phase,2,2018,14209696,8
Puttalam,Puttalam Central,18,5,4,213,1,True,True,Pipe-borne,Three phase,2,2006,22626904,20
Ratnapura,Kuruwita,6,3,3,37,0,False,False,Both,Three phase,1,1991,5846128,35
Monaragala,Monaragala Central,14,4,3,122,2,True,True,Well,Three phase,2,1996,14215618,30
Kandy,Gatambe,13,6,5,173,1,False,False,Pipe-borne,Single phase,1,1992,24707897,34
Monaragala,Monaragala Central,25,6,5,250,1,False,True,Pipe-borne,Single phase,2,2008,28995810,18
Galle,Hikkaduwa,15,7,5,123,2,False,True,Well,Three phase,1,2013,26703788,13
Hambantota,Hambantota Town,19,6,5,236,3,True,False,Pipe-borne,Three phase,2,2015,23382413,11
Ratnapura,Kuruwita,18,6,5,113,1,False,True,Pipe-borne,Three phase,1,2025,21076489,1
Mullaitivu,Mullaitivu Central,2,1,1,46,0,True,False,Both,Three phase,1,1987,2908134,39
Anuradhapura,New Town,4,1,1,56,1,True,False,Both,Three phase,2,2024,6066387,2
Colombo,Borella,5,2,2,35,0,True,True,Well,Single phase,2,1991,12957929,35
Kegalle,Kegalle Central,11,6,5,122,0,False,True,Pipe-borne,Three phase,2,1994,17092876,32
Ratnapura,Ratnapura Town,10,3,2,93,1,False,True,Pipe-borne,Single phase,1,2020,10897419,6
Nuwara Eliya,Nuwara Eliya Central,16,6,5,201,1,True,False,Well,Three phase,3,1987,40810465,39
Badulla,Hali Ela,4,2,1,35,2,False,False,Well,Single phase,2,2021,7492496,5
Mullaitivu,Mullaitivu Central,27,6,5,223,2,True,True,Well,Single phase,2,2023,27760333,3
Matara,Akurugoda,7,3,2,101,1,True,True,Well,Three phase,1,1998,12751022,28
Kandy,Gatambe,7,1,1,78,0,False,False,Pipe-borne,Three phase,1,1986,15391636,40
Mullaitivu,Mullaitivu Central,12,5,4,108,1,True,True,Both,Single phase,1,2012,10366571,14
Colombo,Kollupitiya,6,3,2,71,0,False,True,Well,Three phase,1,1997,15689910,29
Polonnaruwa,Polonnaruwa Central,16,5,4,234,3,False,False,Well,Single phase,3,2017,24384094,9
Galle,Karapitiya,13,5,4,151,3,True,True,Both,Single phase,1,1988,22004857,38
Gampaha,Ja-Ela,9,5,4,130,0,False,True,Both,Three phase,1,1988,18240757,38
Kalutara,Wadduwa,4,3,2,50,0,False,False,Pipe-borne,Three phase,1,1999,3916272,27
Trincomalee,Uppuveli,3,1,1,35,0,False,True,Both,Three phase,2,1998,3790953,28
Ampara,Ampara Central,16,7,5,136,1,False,False,Well,Single phase,1,2024,17003876,2
Trincomalee,Uppuveli,15,5,5,136,2,False,False,Both,Single phase,1,2017,21695665,9
Ampara,Ampara Central,2,1,1,35,0,True,False,Both,Three phase,1,2015,4470974,11
Hambantota,Tangalle,36,5,4,250,3,True,False,Both,Three phase,2,2008,33127011,18
Kandy,Katugastota,6,3,2,86,1,True,True,Well,Single phase,2,2001,11683161,25
Mannar,Mannar Central,7,3,2,98,0,False,False,Both,Three phase,1,2020,7211298,6
Anuradhapura,New Town,7,3,2,101,0,False,False,Pipe-borne,Three phase,1,2013,10097342,13
Batticaloa,Kallady,12,6,5,87,0,True,True,Pipe-borne,Single phase,1,2012,15041550,14
Ampara,Ampara Central,40,4,3,250,2,False,False,Pipe-borne,Three phase,3,2025,44409313,1
Vavuniya,Vavuniya Central,5,1,1,63,0,True,True,Both,Three phase,1,2021,6158449,5
Nuwara Eliya,Nuwara Eliya Central,8,4,4,71,0,True,False,Well,Single phase,1,2008,13169487,18
Matale,Matale Central,25,6,5,250,1,True,True,Both,Three phase,2,2025,38936449,1
Kilinochchi,Kilinochchi Central,14,7,5,123,2,True,False,Both,Single phase,1,2002,11612462,24
Monaragala,Monaragala Central,3,2,1,35,1,False,False,Both,Three phase,1,2018,3866315,8
Vavuniya,Vavuniya Central,8,2,1,71,2,False,True,Pipe-borne,Three phase,1,1985,8807974,41
Kandy,Peradeniya,10,3,2,94,0,False,True,Both,Single phase,2,2015,19000938,11
Puttalam,Puttalam Central,20,5,5,214,3,False,False,Both,Single phase,2,1988,21436732,38
Kilinochchi,Kilinochchi Central,2,2,1,62,2,False,True,Pipe-borne,Single phase,1,2021,3445645,5
Puttalam,Puttalam Central,2,1,1,35,0,False,False,Well,Three phase,2,2017,3728672,9
Kandy,Kandy City,8,4,3,95,1,False,True,Well,Three phase,1,2005,13704851,21
Kandy,Tennekumbura,12,5,4,145,1,True,True,Well,Three phase,2,2000,22500675,26
Polonnaruwa,Polonnaruwa Central,2,1,1,35,1,True,False,Well,Three phase,2,2022,3322554,4
Badulla,Bandarawela,5,3,2,70,3,False,False,Pipe-borne,Three phase,1,1993,7145185,33
Badulla,Badulla Town,11,4,3,161,0,False,True,Pipe-borne,Single phase,2,2011,18776300,15
Kegalle,Kegalle Central,5,3,2,35,0,False,False,Well,Single phase,1,2005,5498662,21
Galle,Karapitiya,5,4,3,49,1,False,False,Both,Three phase,1,2013,7716062,13
Vavuniya,Vavuniya Central,5,4,3,40,0,True,False,Pipe-borne,Single phase,1,1989,4752655,37
Gampaha,Kadawatha,2,4,4,38,2,True,False,Well,Three phase,1,2019,5747778,7
Kurunegala,Melsiripura,21,6,5,250,1,False,True,Both,Single phase,2,2002,28004901,24
Ratnapura,Ratnapura Town,3,2,1,35,3,False,True,Pipe-borne,Single phase,1,1995,5673839,31
Gampaha,Wattala,10,4,3,62,0,False,True,Both,Single phase,1,1999,12081939,27
Trincomalee,Uppuveli,2,2,2,60,0,False,True,Well,Three phase,1,2013,4289477,13
Ampara,Ampara Central,2,1,1,39,1,False,False,Pipe-borne,Three phase,1,2005,2131874,21
Kandy,Peradeniya,16,4,3,132,1,True,False,Pipe-borne,Single phase,1,2011,26441947,15
Gampaha,Wattala,17,6,5,183,2,False,False,Pipe-borne,Single phase,3,1991,33979475,35
Jaffna,Chunnakam,13,6,5,166,3,False,True,Pipe-borne,Single phase,2,1992,26500539,34
Polonnaruwa,Polonnaruwa Central,13,6,5,126,1,True,False,Both,Single phase,1,2003,14378277,23
Gampaha,Negombo,34,6,5,250,2,False,False,Well,Single phase,2,1994,53219120,32
Gampaha,Gampaha Town,10,2,2,126,1,True,False,Both,Single phase,2,2012,20786781,14
Kurunegala,Kurunegala Town,5,1,1,44,0,True,False,Well,Single phase,1,2021,5563850,5
Ratnapura,Ratnapura Town,4,5,5,65,0,True,True,Both,Single phase,1,2007,5643510,19
Mannar,Mannar Central,12,5,5,137,1,False,False,Pipe-borne,Three phase,1,1994,10432260,32
Hambantota,Tangalle,15,6,5,139,1,True,False,Pipe-borne,Three phase,2,1997,11946448,29
Kilinochchi,Kilinochchi Central,2,3,3,47,0,True,True,Both,Three phase,2,2025,2940536,1
Kurunegala,Kurunegala Town,18,7,5,179,1,True,False,Both,Single phase,3,1998,23486854,28
Vavuniya,Vavuniya Central,17,6,5,205,1,True,False,Pipe-borne,Three phase,2,2000,18774158,26
Gampaha,Gampaha Town,2,3,2,74,0,False,False,Well,Three phase,1,2011,4852797,15
Batticaloa,Batticaloa Town,25,6,5,250,2,False,False,Well,Single phase,2,1997,22298318,29
Badulla,Hali Ela,3,4,3,35,2,True,False,Both,Single phase,1,2004,3768128,22
Trincomalee,Uppuveli,4,1,1,35,1,True,True,Pipe-borne,Three phase,2,1995,7869301,31
Kandy,Tennekumbura,13,3,2,106,3,False,True,Both,Three phase,2,2014,23330801,12
Kalutara,Kalutara North,25,4,4,250,1,False,True,Pipe-borne,Single phase,3,1994,49275192,32
Ratnapura,Pelmadulla,14,5,5,103,1,True,False,Well,Three phase,1,1985,11241552,41
Badulla,Badulla Town,8,2,2,37,1,True,False,Both,Three phase,1,1989,8002996,37
Vavuniya,Vavuniya Central,8,3,2,78,0,True,False,Pipe-borne,Three phase,1,2001,8680900,25
Anuradhapura,Nuwaragam Palatha,3,2,2,35,0,True,True,Pipe-borne,Three phase,2,1995,3239538,31
Mullaitivu,Mullaitivu Central,9,3,2,108,0,True,True,Both,Single phase,1,2020,8730475,6
Batticaloa,Eravur,2,4,4,37,1,True,True,Pipe-borne,Single phase,1,2004,3140658,22
Polonnaruwa,Polonnaruwa Central,13,5,5,138,2,True,False,Well,Single phase,2,2016,18978898,10
Matara,Akurugoda,9,4,4,95,1,True,False,Pipe-borne,Single phase,2,2022,14345614,4
Ratnapura,Ratnapura Town,2,1,1,38,0,True,True,Both,Three phase,2,2010,3678635,16
Batticaloa,Kallady,24,6,5,182,1,False,False,Both,Three phase,3,1995,28844322,31
Vavuniya,Vavuniya Central,14,5,4,88,3,False,True,Pipe-borne,Single phase,1,1999,13123816,27
Batticaloa,Kallady,31,6,5,250,1,True,True,Well,Single phase,2,1992,29700964,34
Polonnaruwa,Polonnaruwa Central,7,4,4,67,0,True,False,Pipe-borne,Single phase,1,2005,7296417,21
Trincomalee,China Bay,4,3,3,45,0,False,False,Well,Single phase,1,2017,4828591,9
Badulla,Bandarawela,19,5,4,226,2,False,True,Pipe-borne,Three phase,2,2002,21954272,24
Kegalle,Kegalle Central,7,3,3,60,1,True,False,Both,Single phase,2,1988,6798659,38
Badulla,Badulla Town,2,1,1,35,2,True,False,Both,Single phase,2,2010,4571297,16
Badulla,Hali Ela,13,6,5,90,1,True,False,Well,Three phase,1,2015,12861523,11
Galle,Galle Fort,7,2,2,98,0,True,False,Pipe-borne,Single phase,2,1989,13926116,37
Jaffna,Nallur,3,4,3,35,1,False,True,Pipe-borne,Three phase,2,1985,5089212,41
Colombo,Narahenpita,10,4,4,85,0,True,True,Pipe-borne,Three phase,2,1995,29119168,31
Kandy,Peradeniya,2,3,2,41,0,True,False,Well,Three phase,1,2025,5903537,1
Trincomalee,China Bay,9,3,2,43,1,False,True,Both,Three phase,1,2015,9204703,11
Hambantota,Hambantota Town,15,6,5,147,1,True,False,Both,Single phase,1,2016,16269833,10
Hambantota,Hambantota Town,3,2,2,35,1,False,True,Well,Three phase,1,1994,3437391,32
Nuwara Eliya,Nuwara Eliya Central,7,1,1,70,0,True,False,Both,Three phase,1,2018,15803315,8
Kurunegala,Polgahawela,14,5,4,117,1,True,False,Both,Single phase,1,2025,15041807,1
Kandy,Kandy City,17,6,5,211,2,True,False,Pipe-borne,Three phase,2,2020,41858050,6
Gampaha,Negombo,10,4,3,128,2,True,True,Both,Single phase,1,2021,20967113,5
Batticaloa,Kallady,29,5,5,250,2,False,True,Well,Three phase,2,1989,31242152,37
Monaragala,Monaragala Central,39,6,5,250,2,True,True,Well,Three phase,3,2025,43511907,1
Trincomalee,China Bay,22,6,5,250,2,False,False,Both,Single phase,2,2020,35627501,6
Nuwara Eliya,Nuwara Eliya Central,2,3,3,35,0,False,True,Both,Three phase,2,2001,7469892,25
Kilinochchi,Kilinochchi Central,7,3,3,89,0,False,False,Pipe-borne,Three phase,1,2010,6265034,16
Polonnaruwa,Polonnaruwa Central,16,5,5,103,1,False,False,Pipe-borne,Single phase,2,2013,15534225,13
Monaragala,Monaragala Central,5,3,2,35,1,False,False,Pipe-borne,Three phase,2,2003,4672239,23
Mannar,Mannar Central,21,7,5,113,2,True,False,Well,Single phase,1,2013,15607216,13
Kilinochchi,Kilinochchi Central,2,2,2,45,0,True,True,Pipe-borne,Three phase,1,2013,2988545,13
Anuradhapura,New Town,19,6,5,121,1,False,True,Pipe-borne,Three phase,2,2006,17063382,20
Colombo,Mount Lavinia,12,5,4,186,2,True,True,Well,Three phase,1,2010,50024942,16
Jaffna,Jaffna Town,8,2,2,52,0,True,True,Well,Three phase,1,2006,9645839,20
Hambantota,Hambantota Town,3,1,1,35,1,False,False,Pipe-borne,Single phase,1,1997,3921535,29
Puttalam,Puttalam Central,9,4,4,127,0,True,False,Well,Three phase,1,2004,8293204,22
Batticaloa,Kallady,9,3,2,55,1,True,False,Both,Three phase,1,2002,8651124,24
Mullaitivu,Mullaitivu Central,2,1,1,35,2,True,False,Both,Single phase,1,1986,2908823,40
Hambantota,Hambantota Town,7,3,2,57,0,True,False,Pipe-borne,Single phase,1,1998,6101979,28
Hambantota,Ambalantota,13,7,5,110,1,False,True,Pipe-borne,Single phase,1,2025,14684138,1
Kilinochchi,Kilinochchi Central,21,5,4,250,3,True,False,Well,Single phase,2,2016,25627817,10
Hambantota,Hambantota Town,7,1,1,80,0,True,False,Both,Single phase,1,2012,7631430,14
Hambantota,Hambantota Town,10,4,3,101,0,False,False,Pipe-borne,Single phase,2,1990,9568373,36
Matale,Matale Central,4,2,2,38,1,False,False,Pipe-borne,Three phase,1,2006,5825481,20
Kegalle,Kegalle Central,8,1,1,62,1,True,True,Pipe-borne,Single phase,1,2012,9365759,14
Gampaha,Ragama,3,3,3,35,1,True,False,Both,Single phase,1,2019,6816652,7
Mullaitivu,Mullaitivu Central,12,5,5,88,1,True,False,Well,Three phase,1,1991,9100304,35
Monaragala,Monaragala Central,7,4,3,91,0,True,False,Both,Single phase,2,2006,9385954,20
